idno,ppltrst,happy,health,cgtsday,alcfreq,height,weight,gndr,yrbrn
922933,9,9,Fair,,Less than once a month,160.0,98.0,Female,1965.0
937554,5,Extremely happy,Very good,6.0,Once a week,172.0,68.0,Female,1978.0
921678,4,Extremely happy,Very good,10.0,Every day,178.0,65.0,Male,1946.0
937449,8,8,Good,,2-3 times a month,182.0,92.0,Male,1974.0
929121,6,Extremely happy,,,Every day,164.0,73.0,Male,1941.0
941878,8,8,Good,,Several times a week,183.0,84.0,Male,1985.0
946331,9,8,Fair,,2-3 times a month,172.0,68.0,Male,1945.0
930154,4,7,Good,6.0,Once a month,182.0,81.0,Male,1988.0
921539,7,,Very good,5.0,Less than once a month,170.0,78.0,Female,1982.0
938380,6,8,Good,,Less than once a month,176.0,,Female,1998.0
935811,5,9,Good,8.0,2-3 times a month,174.0,69.0,Female,1974.0
928735,8,Extremely happy,Very good,,Once a week,165.0,76.0,Female,1943.0
944826,3,Extremely happy,Very good,10.0,Several times a week,173.0,,Female,1971.0
947060,5,9,Very good,20.0,Several times a week,190.0,96.0,Male,1984.0
937627,7,9,Very good,,Once a month,180.0,85.0,Male,1969.0
946446,8,9,Very good,,,182.0,95.0,Male,1965.0
949216,7,8,Very good,,Once a month,180.0,69.0,Male,1994.0
940377,8,Extremely happy,Very bad,,Once a month,181.0,78.0,Male,1984.0
930976,5,Extremely happy,Good,,Less than once a month,163.0,56.0,Female,1995.0
944672,8,9,Very good,,Once a week,190.0,85.0,Male,1976.0
943480,5,5,Fair,,Several times a week,174.0,94.0,Male,1930.0
939904,Most people can be trusted,Extremely happy,Very good,,Every day,165.0,58.0,Female,1928.0
937261,You can't be too careful,9,Good,,Less than once a month,180.0,75.0,Female,1981.0
930594,7,Extremely happy,Very good,,2-3 times a month,176.0,114.0,Female,1965.0
936011,7,9,Good,,Several times a week,162.0,69.0,Female,1942.0
937253,8,9,Good,,Several times a week,173.0,90.0,Female,1950.0
945830,3,Extremely happy,Very good,,Once a month,174.0,79.0,Female,1941.0
940830,7,9,Good,,Several times a week,170.0,66.0,Female,1947.0
931304,8,9,Good,,2-3 times a month,163.0,54.0,Female,1970.0
926238,4,9,Very good,10.0,2-3 times a month,169.0,56.0,Female,1969.0
946488,8,Extremely happy,Very good,,Several times a week,164.0,80.0,Female,1947.0
949436,8,9,Good,10.0,2-3 times a month,160.0,83.0,Female,1967.0
944347,,7,Fair,,Less than once a month,,90.0,Female,1965.0
928086,8,Extremely happy,Very good,,Several times a week,176.0,65.0,Female,1949.0
934522,8,9,Very good,,Every day,182.0,98.0,Male,1944.0
940301,7,,Good,,Once a week,180.0,79.0,Male,1957.0
926880,7,8,Very good,,Once a week,161.0,62.0,Female,1969.0
949923,4,7,Good,,2-3 times a month,172.0,67.0,Female,1975.0
947214,Most people can be trusted,9,Good,,Less than once a month,178.0,57.0,Female,1986.0
924969,8,5,Good,20.0,Every day,176.0,76.0,Male,1957.0
932910,8,8,Good,,Several times a week,180.0,66.0,Female,1956.0
946014,5,7,Good,,2-3 times a month,182.0,70.0,Male,1997.0
932588,4,9,,,Once a month,179.0,78.0,Male,1989.0
929676,9,8,Good,,Every day,180.0,72.0,Male,1939.0
922381,5,9,Good,,Less than once a month,177.0,75.0,Male,1969.0
932651,1,8,Very good,,2-3 times a month,187.0,79.0,Male,1997.0
923816,7,9,Good,,2-3 times a month,165.0,70.0,Female,1999.0
944478,8,8,Very good,16.0,Once a week,182.0,93.0,Male,1948.0
929537,6,9,Very good,0.0,Several times a week,174.0,64.0,Male,1942.0
942010,5,9,Very good,,Once a week,180.0,,,1952.0
936710,9,Extremely happy,Very good,,Once a month,172.0,60.0,Female,1954.0
926319,7,8,Good,13.0,,172.0,62.0,Male,1957.0
943016,8,8,Good,10.0,Several times a week,176.0,78.0,Male,1961.0
939899,7,9,Good,,Once a week,163.0,60.0,Female,1999.0
938479,8,3,Fair,,Several times a week,188.0,90.0,Male,1965.0
946933,6,7,,20.0,Several times a week,170.0,85.0,Female,1956.0
947557,8,8,Fair,,Less than once a month,159.0,108.0,Female,1980.0
923434,5,9,Good,11.0,Less than once a month,164.0,60.0,Female,1968.0
927616,Most people can be trusted,9,Very good,,2-3 times a month,188.0,101.0,Male,1941.0
935057,8,8,Very good,20.0,Less than once a month,173.0,73.0,Male,1969.0
946195,7,Extremely happy,Very good,,2-3 times a month,191.0,95.0,Male,1991.0
942264,9,Extremely happy,Good,,2-3 times a month,162.0,68.0,Female,1988.0
938699,8,Extremely happy,Good,,Several times a week,176.0,,Male,1933.0
941608,7,8,Fair,,Once a month,168.0,85.0,Female,1963.0
