idno,ppltrst,happy,health,cgtsday,alcfreq
943498,8,8,Good,,2-3 times a month
941420,8,Extremely happy,Fair,20,Once a week
948294,Most people can be trusted,Extremely happy,Very good,,Less than once a month
936485,7,7,Bad,,Once a week
923997,8,8,Very good,,Several times a week
928808,8,7,Very good,,Once a week
933021,9,8,Good,,Once a week
925038,8,7,Very good,,Several times a week
948456,8,9,Very good,,Less than once a month
932156,3,2,Very good,,Never
931621,8,Extremely happy,Good,,2-3 times a month
946755,Most people can be trusted,9,Good,,Once a week
925355,3,,Fair,,Less than once a month
940806,7,6,Very good,,Less than once a month
931029,5,7,Good,15,Less than once a month
933160,8,8,Good,,Every day
935112,3,6,Good,,Several times a week
932766,8,3,Bad,,Once a month
935235,5,9,Good,,Less than once a month
943684,6,9,Good,,Every day
922959,8,9,Good,,Once a month
935968,9,Extremely happy,Very good,,Several times a week
948341,7,8,Fair,,Never
932245,9,8,Good,,Every day
926149,Most people can be trusted,5,Very good,,Several times a week
921254,7,4,,,Once a week
921814,9,Extremely happy,Very good,,Never
929082,8,Extremely happy,Very good,,Several times a week
936281,7,7,Good,,Several times a week
934865,1,7,Very bad,,Never
949711,5,8,Good,,Once a month
949915,9,9,Very good,,Several times a week
940903,9,Extremely happy,Fair,,Once a month
925795,8,9,Good,2,Once a week
941674,7,Extremely happy,Very good,,Once a month
945953,7,9,Very good,,Once a month
932732,7,8,Fair,,
949680,8,9,Fair,,
948901,7,Extremely happy,,40,Every day
942044,7,8,Fair,0,Several times a week
945369,8,8,Good,,Less than once a month
926351,8,9,,,Once a week
947997,9,Extremely happy,Good,4,2-3 times a month
947989,7,8,Very good,15,Once a week
928646,7,6,Fair,,Once a month
943765,7,Extremely happy,Very good,,Several times a week
940652,5,9,Fair,10,Less than once a month
922006,7,Extremely happy,Good,20,Less than once a month
940856,Most people can be trusted,Extremely happy,Very good,,Once a month
941519,7,5,,,Less than once a month
941802,7,,Very good,,Several times a week
935667,9,7,Fair,20,Once a week
926945,7,9,Fair,,Once a week
929561,8,9,Good,,2-3 times a month
936574,9,8,Good,,Once a week
933712,9,8,Very good,,Several times a week
923777,6,9,Very good,,2-3 times a month
945814,8,8,Very good,,2-3 times a month
938720,8,,Fair,,Every day
928248,8,9,Very good,,2-3 times a month
944876,7,8,Very good,10,Several times a week
934344,You can't be too careful,Extremely happy,Very good,20,Every day
928280,You can't be too careful,,Very bad,20,Never
929406,7,Extremely happy,Fair,,Once a week
949509,9,9,Good,,Several times a week
936702,8,9,Good,,
935895,7,9,Good,,Several times a week
923191,8,Extremely happy,Very good,,2-3 times a month
940288,8,8,Very good,,Once a week
933908,3,8,Very good,,Several times a week
948189,7,Extremely happy,,5,2-3 times a month
942484,5,,Bad,20,Less than once a month
926513,7,9,Good,,
947971,Most people can be trusted,7,Bad,3,Once a week
930633,3,8,Very good,,Less than once a month
939637,9,7,Very good,,Once a month
933013,8,8,Good,,Less than once a month
927284,Most people can be trusted,8,Good,,Less than once a month
940505,8,9,Fair,,Once a week
949305,9,Extremely happy,Fair,,Less than once a month
934467,8,8,Good,,2-3 times a month
932902,,9,Fair,,Once a week
922315,,7,Very good,,Several times a week
942719,9,9,,,Once a week
940694,8,8,Good,,Several times a week
933186,5,8,Very good,,Never
947476,Most people can be trusted,9,Fair,,Less than once a month
942793,7,9,Very good,10,Once a week
923743,9,8,Very good,2,Once a week
925185,9,9,Very good,,Once a month
924139,8,8,Good,,Once a month
929668,5,7,Fair,,2-3 times a month
942620,3,5,Fair,40,Less than once a month
940945,,8,Fair,,Once a month
932546,7,8,Bad,10,
927399,2,7,Fair,25,Once a week
949274,8,,Very good,,Several times a week
935609,8,8,Good,,Less than once a month
929294,7,,Very good,,Never
