,idno,ppltrst,happy,health,cgtsday,alcfreq,height,weight,gndr,yrbrn
513,930887,8,8,Good,,2-3 times a month,192.0,84.0,Male,1979
514,930926,8,Extremely happy,Good,,Several times a week,174.0,83.0,Male,1948
516,930968,8,8,Good,,Once a week,168.0,60.0,Female,1964
518,930984,6,Extremely happy,Very good,,Once a week,163.0,69.0,Female,1973
519,930992,9,9,Very good,,Several times a week,177.0,84.0,Male,1975
520,931003,8,7,Good,,Once a week,168.0,74.0,Male,1980
523,931037,9,5,Good,10.0,2-3 times a month,180.0,86.0,Male,1961
524,931087,9,9,Good,,Once a week,165.0,71.0,Female,1989
525,931095,2,6,Bad,,2-3 times a month,167.0,86.0,Female,1949
527,931126,8,Extremely happy,Very good,,Less than once a month,162.0,81.0,Female,1961
529,931142,8,9,Fair,,Once a month,168.0,65.0,Female,1939
530,931150,8,9,Very good,,Once a week,187.0,86.0,Male,1985
532,931207,6,7,Fair,,Once a month,180.0,79.0,Male,1989
533,931249,3,8,Very good,,Several times a week,176.0,66.0,Male,1975
534,931281,5,7,Good,,2-3 times a month,186.0,83.0,Male,1988
537,931320,7,8,Very good,20.0,Once a week,185.0,81.0,Male,1974
538,931338,8,8,Good,,Several times a week,175.0,53.0,Female,1965
539,931354,6,8,Good,0.0,Once a week,165.0,54.0,Male,1998
545,931469,Most people can be trusted,9,Good,,Less than once a month,168.0,75.0,Female,1953
547,931540,8,9,Good,,2-3 times a month,164.0,56.0,Female,1971
548,931566,Most people can be trusted,9,Fair,9.0,Every day,160.0,47.0,Female,1946
549,931574,7,Extremely happy,Fair,,Once a week,166.0,67.0,Male,1938
555,931689,9,9,Good,15.0,Once a month,186.0,85.0,Male,1972
556,931697,8,9,Very good,,2-3 times a month,150.0,52.0,Female,1946
557,931728,5,3,Very good,1.0,Never,179.0,56.0,Male,1983
558,931736,9,Extremely happy,Very good,,Once a week,175.0,80.0,Female,1965
560,931794,5,Extremely happy,Very good,,,,,Male,1990
561,931817,5,Extremely happy,Good,,Several times a week,167.0,65.0,Female,1945
562,931825,7,9,Very good,,Once a month,173.0,74.0,Male,1994
565,931867,5,9,Very good,5.0,Once a month,168.0,58.0,Female,1994
570,932025,1,8,Good,,Several times a week,170.0,80.0,Female,1944
572,932041,7,9,Very good,,2-3 times a month,179.0,84.0,Male,1954
574,932067,5,6,Fair,,Never,188.0,137.0,Male,1966
575,932083,7,Extremely happy,Good,,Every day,160.0,44.0,Female,1934
576,932091,6,9,Very good,,Several times a week,178.0,82.0,Male,1985
577,932106,8,9,Good,,Less than once a month,170.0,,Female,1975
582,932229,8,Extremely happy,Very good,20.0,Less than once a month,187.0,75.0,Male,1993
583,932237,8,8,Good,,Several times a week,176.0,82.0,Male,1946
585,932253,8,7,Very good,,Several times a week,170.0,57.0,Female,1971
586,932261,7,Extremely happy,Very good,,2-3 times a month,180.0,85.0,Male,1996
587,932287,9,9,Good,,Less than once a month,167.0,48.0,Female,1993
588,932318,You can't be too careful,9,Good,,2-3 times a month,180.0,77.0,Male,1965
589,932368,9,9,Good,,Several times a week,160.0,75.0,Female,1972
590,932407,3,9,Very good,,2-3 times a month,184.0,66.0,Male,1998
592,932499,5,Extremely happy,Fair,,2-3 times a month,166.0,108.0,Female,1953
593,932504,8,8,Good,0.0,2-3 times a month,172.0,67.0,Male,1976
598,932562,8,Extremely happy,Very good,,Several times a week,167.0,78.0,Female,1955
601,932596,9,Extremely happy,Very good,,Every day,158.0,48.0,Female,1960
602,932601,7,8,Good,20.0,Once a week,183.0,86.0,Male,1948
605,932669,8,9,Good,,Several times a week,182.0,85.0,Female,1986
607,932685,3,3,Bad,,,165.0,55.0,Female,1925
608,932708,9,9,Good,,Several times a week,178.0,92.0,Male,1951
609,932716,3,8,Good,,Several times a week,166.0,71.0,Female,1940
610,932724,5,9,Good,,Once a week,167.0,66.0,Female,1951
612,932758,9,8,Good,,Once a week,165.0,51.0,Female,1926
616,932871,2,5,Fair,2.0,Several times a week,175.0,68.0,Male,1942
617,932889,9,8,Good,,2-3 times a month,175.0,,Female,1968
618,932897,You can't be too careful,7,Fair,10.0,Several times a week,187.0,110.0,Male,1993
622,932978,5,7,Fair,,Less than once a month,163.0,62.0,Female,1971
623,933005,7,Extremely happy,Very good,,Once a week,167.0,75.0,Female,1956
630,933128,8,8,Fair,20.0,Once a week,174.0,71.0,Male,1949
631,933144,8,9,Good,,2-3 times a month,190.0,72.0,Male,1993
637,933259,9,8,Good,,Once a week,172.0,75.0,Male,1955
638,933275,8,8,Fair,,2-3 times a month,171.0,72.0,Female,1938
641,933348,7,9,Good,,Once a week,173.0,80.0,Male,1995
642,933372,7,9,Good,,Once a week,178.0,88.0,Male,1971
643,933398,7,8,Fair,15.0,Never,169.0,70.0,Male,1985
