idno,height,weight,gndr,yrbrn
922894,168,60,Female,1964
922941,185,99,Male,1991
922975,178,63,,1967
922983,160,54,Female,1947
922991,166,60,Female,1934
923052,157,62,Female,1931
923109,,101,Female,1946
923133,172,65,Female,1958
923141,186,75,Female,1970
923159,164,51.400002,Female,1946
923264,173,89,Male,1943
923272,190,81,Male,1992
923280,182,,Male,1983
923361,176,95,Male,1984
923379,166,60,Female,1967
923400,180,70,Male,1946
923492,166,60,Female,
923523,172,59,Female,1945
923531,167,67,Female,1956
923557,182,76,Male,1984
923573,155,61,Female,1987
923604,189,78,Male,1989
923620,180,93,,1984
923646,,,Female,1948
923662,163,62,Female,1976
923670,176,72,Male,1979
923688,164,63,Female,1990
923701,173,59,Female,
923808,172,76,Male,1955
923858,180,70,,1977
923882,,87,Male,1935
923905,196,135,Male,1995
923913,170,70,Male,1943
923939,177,107,Male,1951
923989,180,70,Female,1959
924024,169,66,Female,1986
924032,174,72,Male,1926
924040,172,92,Male,1942
924058,,68,Female,1949
924066,175,68,Male,1927
924113,197,82,Male,1997
924121,188,85,Male,1990
924163,169,63,Male,1971
924202,170,74,Female,1970
924359,165,72,Male,1937
924375,178,76,Female,1976
924383,175,94,Male,1946
924406,168,65,Female,1934
924464,174,74,Female,1991
924472,168,72,Female,
924480,166,65,Female,1957
924503,181,81.5,,1932
924511,,59,Male,
924529,163,75,Female,1957
924545,172,75,,1979
924626,168,85,Male,1942
924676,180,83,Male,1955
924692,163,58,Female,1980
924715,,95,Female,
924731,178,86,Male,1951
924781,178,75,Male,1973
924812,173,65,Female,1984
924862,178,82,Male,1980
924901,164,70,Female,
924951,162,59,Female,1980
925054,170,66,Female,1975
925088,178,86,Female,1944
925096,179,78.599998,Male,1996
925101,176,83,Male,1990
925119,168,57,Female,1971
925127,163,62,Female,1989
925177,164,74,Female,1957
925216,168,102,Female,1958
925258,179,99,Male,1967
925282,,59,Female,1938
925290,177,90,Male,1951
925402,166,56,Female,
925525,156,50,Female,1939
925533,190,95,Male,1984
925559,186,105,Male,1996
925575,158,57,Female,1939
925583,169,65,Female,1994
925591,164,53,Female,1958
925606,176,,,1955
925622,157,70,Female,1946
925656,168,67,Male,1966
925680,164,69,Female,1944
925703,165,60,Female,1975
925745,168,65,Female,1957
925753,,67,Female,1988
925787,175,80,Female,1949
925876,189,80,Male,1970
925884,173,81,Male,1990
925923,177,79,Female,1964
926026,167,63,Female,1976
926092,173,115,Female,1975
926107,187,84,Male,1999
926131,176,79,Female,1982
926288,160,59,Female,1951
926458,172,77,Male,1986
926539,165,59,Female,1994
926555,183,75,Male,1995
926563,195,66,Male,1997
926589,172,68,Male,1965
926597,173,68,Female,1978
926652,172,62,,1990
926660,186,66,Male,1965
926694,177,78,Male,1939
926733,163,85,Female,1968
926806,,64,Female,1979
926898,182,112,Male,1968
926903,162,62,Female,1940
926911,184,79,Male,1960
926987,162,64,,1950
927006,,72,Female,1967
927072,192,83,Male,1964
927187,162,65,Male,1927
927226,182,87,Male,1974
927276,184,90,Male,1953
927323,172,87,Female,1967
927331,181,,Female,1981
927349,188,79,Male,1974
927381,173,82,Male,1995
927488,168,74,Male,1981
927585,175,84,Female,1986
927624,160,69,Female,1961
927632,158,64,Female,1976
927640,180,87,Female,1988
927763,185,97,,1938
927933,159,51,Female,
927967,,82,Male,1967
927983,164,54,Female,1989
928002,146,48,Female,1935
928028,181,75,Male,1986
928109,168,67,Female,1964
928125,183,87,Male,1968
928303,178,73,Male,1969
928361,166,59,Female,1955
928400,167,61,Female,1969
928418,187,80,Male,1997
928434,164,64,Female,1960
928492,,80,Female,1968
928515,178,89,Male,1939
928573,168,68,Female,1936
928777,189,71,Male,1972
928785,183,125,Male,1967
928816,196,,Male,1973
928840,187,98,Male,1998
928874,187,64,Male,1999
928905,173,68,Male,1952
928913,163,71,Female,1936
928971,168,54,Female,1946
928997,175,67,Female,1988
929090,184,89,Male,1965
929139,186,107,Male,1955
929163,167,56,Female,1941
929171,173,88,,1937
929202,167,52,Female,1994
929210,180,110,Male,1949
929228,182,102,Male,1938
929325,162,76,Female,1970
929359,182,88,Male,1945
929414,171,60,Female,1997
929448,172,,Male,1926
929456,170,70,Female,1998
929464,165,86,Female,1982
929529,164,77,Female,1969
929587,163,78,Female,1958
929642,184,71,Female,1998
929692,193,83,Male,1986
929757,,80,Male,1969
929854,176,71,,1992
929862,175,82,Male,1952
929870,163,69,Female,1947
929977,175,75,Male,1985
929985,172,76,Female,1969
930023,185,67,Male,1946
930293,160,42,Female,1945
930316,174,75,Male,1947
930324,168,85,Male,1941
930332,178,89,,1985
930374,158,,Female,1964
930497,175,76,Female,1987
930659,176,80,Female,1969
930667,170,70,Male,1932
930714,169,66,Female,1977
930730,160,84,Female,1974
930772,168,40,Female,1957
930780,204,112,Male,1983
930811,175,95,Male,1937
930829,185,116,Male,1958
930853,168,69,Female,1947
930887,192,84,Male,1979
930926,174,83,Male,1948
930968,168,60,Female,1964
930984,163,69,,1973
930992,177,84,Male,1975
931003,168,74,,1980
931037,180,86,Male,1961
931087,165,71,Female,1989
931095,167,86,Female,1949
931126,162,81,Female,1961
931142,,65,,1939
931150,187,86,Male,1985
931207,180,79,,1989
931249,176,66,Male,1975
931281,186,83,,1988
931320,185,81,Male,1974
931338,175,53,Female,1965
931354,165,54,Male,1998
931469,168,75,Female,1953
931540,164,56,Female,1971
931566,160,47,Female,1946
931574,166,67,Male,1938
931689,186,85,Male,1972
931697,150,52,Female,1946
931728,179,56,Male,1983
931736,175,80,Female,1965
931794,,,Male,1990
931817,167,65,Female,
931825,173,74,Male,1994
931867,168,58,Female,1994
932025,170,80,Female,1944
932041,179,84,Male,1954
932067,188,137,Male,1966
932083,160,44,Female,1934
932091,178,82,Male,1985
932106,170,,Female,1975
932229,187,75,Male,1993
932237,176,82,Male,1946
932253,170,57,Female,1971
932261,180,85,Male,1996
932287,167,48,Female,1993
932318,180,77,Male,1965
932368,160,75,Female,1972
932407,184,66,Male,1998
932499,166,,Female,1953
932504,172,67,Male,1976
932562,167,78,Female,1955
932596,158,48,Female,1960
932601,183,86,Male,1948
932669,182,85,Female,1986
932685,165,55,,1925
932708,178,92,Male,1951
932716,166,71,Female,1940
932724,167,66,Female,1951
932758,165,51,Female,1926
932871,175,68,Male,1942
932889,175,,Female,1968
932897,187,110,Male,1993
932978,163,62,Female,1971
